Contest ID,Index,Problem Name,Rating,Solved,URL,Tags
2023,A,Concatenation of Arrays,1300.0,11504,https://codeforces.com/problemset/problem/2023/A,"constructive algorithms, greedy, math, sortings"
2018,A,Cards Partition,1600.0,9992,https://codeforces.com/problemset/problem/2018/A,"2-sat, brute force, greedy, implementation, math"
2006,A,Iris and Game on the Tree,1700.0,6677,https://codeforces.com/problemset/problem/2006/A,"constructive algorithms, dfs and similar, games, graphs, greedy, trees"
1967,A,Permutation Counting,1400.0,12503,https://codeforces.com/problemset/problem/1967/A,"binary search, greedy, implementation, math, sortings"
1965,A,Everything Nim,1400.0,13751,https://codeforces.com/problemset/problem/1965/A,"games, greedy, math, sortings"
1943,A,MEX Game 1,1300.0,18052,https://codeforces.com/problemset/problem/1943/A,"games, greedy"
1936,A,Bitwise Operation Wizard,1700.0,7486,https://codeforces.com/problemset/problem/1936/A,"bitmasks, constructive algorithms, greedy, interactive, math"
1924,A,Did We Get Everything Covered?,1500.0,14076,https://codeforces.com/problemset/problem/1924/A,"constructive algorithms, dp, greedy, shortest paths, strings"
1893,A,Anonymous Informant,1400.0,12508,https://codeforces.com/problemset/problem/1893/A,"brute force, dfs and similar, graphs, implementation"
1889,A,Qingshan Loves Strings 2,1300.0,13330,https://codeforces.com/problemset/problem/1889/A,"constructive algorithms, greedy, implementation"
1874,A,Jellyfish and Game,1200.0,17200,https://codeforces.com/problemset/problem/1874/A,"brute force, games, greedy, implementation"
1868,A,Fill in the Matrix,1300.0,12114,https://codeforces.com/problemset/problem/1868/A,"constructive algorithms, implementation"
1852,A,Ntarsis' Set,1800.0,8140,https://codeforces.com/problemset/problem/1852/A,"binary search, math, number theory"
1835,A,k-th equality,1700.0,7896,https://codeforces.com/problemset/problem/1835/A,"brute force, implementation, math"
1830,A,Copil Copac Draws Trees,1400.0,13789,https://codeforces.com/problemset/problem/1830/A,"dfs and similar, dp, graphs, trees"
1827,A,Counting Orders,1100.0,19338,https://codeforces.com/problemset/problem/1827/A,"combinatorics, math, sortings, two pointers"
1824,A,LuoTianyi and the Show,1400.0,11385,https://codeforces.com/problemset/problem/1824/A,"greedy, implementation"
1819,A,Constructive Problem,1300.0,12841,https://codeforces.com/problemset/problem/1819/A,"brute force, greedy"
1817,A,Almost Increasing Subsequence,1500.0,11139,https://codeforces.com/problemset/problem/1817/A,"binary search, data structures, greedy"
1815,A,Ian and Array Sorting,1300.0,14253,https://codeforces.com/problemset/problem/1815/A,"greedy, math"
1801,A,The Very Beautiful Blanket,1600.0,8643,https://codeforces.com/problemset/problem/1801/A,"bitmasks, constructive algorithms"
1710,A,Color the Picture,1500.0,10957,https://codeforces.com/problemset/problem/1710/A,"constructive algorithms, greedy, math"
1707,A,Doremy's IQ,1600.0,13706,https://codeforces.com/problemset/problem/1707/A,"binary search, constructive algorithms, greedy, implementation"
1693,A,Directional Increase,1300.0,16227,https://codeforces.com/problemset/problem/1693/A,greedy
1687,A,The Enchanted Forest,1600.0,10444,https://codeforces.com/problemset/problem/1687/A,"brute force, greedy"
1685,A,Circular Local MiniMax,1100.0,17197,https://codeforces.com/problemset/problem/1685/A,"constructive algorithms, greedy, sortings"
1854,A1,Dual (Easy Version),1400.0,14235,https://codeforces.com/problemset/problem/1854/A1,"constructive algorithms, math"
1753,A1,Make Nonzero Sum (easy version),1300.0,15054,https://codeforces.com/problemset/problem/1753/A1,"constructive algorithms, dp, greedy"
1718,A1,Burenka and Traditions (easy version),1800.0,5816,https://codeforces.com/problemset/problem/1718/A1,"dp, greedy"
1854,A2,Dual (Hard Version),1900.0,7062,https://codeforces.com/problemset/problem/1854/A2,"constructive algorithms, math"
1753,A2,Make Nonzero Sum (hard version),1500.0,10457,https://codeforces.com/problemset/problem/1753/A2,"constructive algorithms, dp, greedy"
1718,A2,Burenka and Traditions (hard version),1900.0,5291,https://codeforces.com/problemset/problem/1718/A2,"data structures, dp, greedy"
2023,B,Skipping,1700.0,4641,https://codeforces.com/problemset/problem/2023/B,"binary search, dp, graphs, shortest paths"
2018,B,Speedbreaker,1900.0,3862,https://codeforces.com/problemset/problem/2018/B,"binary search, data structures, dp, greedy, implementation, two pointers"
2006,B,Iris and the Tree,1800.0,3270,https://codeforces.com/problemset/problem/2006/B,"brute force, data structures, dfs and similar, dsu, math, trees"
1965,B,Missing Subsequence Sum,1800.0,6720,https://codeforces.com/problemset/problem/1965/B,"bitmasks, constructive algorithms, greedy, number theory"
1943,B,Non-Palindromic Substring,2000.0,3872,https://codeforces.com/problemset/problem/1943/B,"hashing, implementation, math, strings"
1936,B,Pinball,2000.0,2941,https://codeforces.com/problemset/problem/1936/B,"binary search, data structures, implementation, math, two pointers"
1924,B,Space Harbour,2100.0,2597,https://codeforces.com/problemset/problem/1924/B,"data structures, implementation, math, sortings"
1893,B,Neutral Tonality,1700.0,9002,https://codeforces.com/problemset/problem/1893/B,"constructive algorithms, greedy, sortings, two pointers"
1889,B,Doremy's Connecting Plan,1700.0,7459,https://codeforces.com/problemset/problem/1889/B,"constructive algorithms, greedy, math, sortings"
1887,B,Time Travel,1900.0,3048,https://codeforces.com/problemset/problem/1887/B,"binary search, graphs, shortest paths"
1874,B,Jellyfish and Math,2400.0,1158,https://codeforces.com/problemset/problem/1874/B,"bitmasks, brute force, dfs and similar, dp, graphs, shortest paths"
1854,B,Earn or Unlock,2200.0,3577,https://codeforces.com/problemset/problem/1854/B,"bitmasks, brute force, dp"
1852,B,Imbalanced Arrays,1800.0,4530,https://codeforces.com/problemset/problem/1852/B,"constructive algorithms, graphs, greedy, math, sortings, two pointers"
1835,B,Lottery,2500.0,950,https://codeforces.com/problemset/problem/1835/B,"binary search, brute force, greedy, math, two pointers"
1830,B,The BOSS Can Count Pairs,2000.0,4952,https://codeforces.com/problemset/problem/1830/B,"brute force, math"
1819,B,The Butcher,1900.0,3623,https://codeforces.com/problemset/problem/1819/B,"geometry, greedy, implementation, sortings, two pointers"
1817,B,Fish Graph,1900.0,4177,https://codeforces.com/problemset/problem/1817/B,"brute force, constructive algorithms, dfs and similar, graphs"
1815,B,Sum Graph,2000.0,3069,https://codeforces.com/problemset/problem/1815/B,"brute force, constructive algorithms, graphs, implementation, interactive, shortest paths, trees"
1801,B,Buying gifts,1800.0,6361,https://codeforces.com/problemset/problem/1801/B,"data structures, greedy, sortings"
1753,B,Factorial Divisibility,1600.0,12944,https://codeforces.com/problemset/problem/1753/B,"math, number theory"
1718,B,Fibonacci Strings,2000.0,3038,https://codeforces.com/problemset/problem/1718/B,"greedy, implementation, math, number theory"
1710,B,Rain,2100.0,2488,https://codeforces.com/problemset/problem/1710/B,"binary search, brute force, data structures, geometry, greedy, implementation, math"
1707,B,Difference Array,1900.0,5787,https://codeforces.com/problemset/problem/1707/B,"brute force, data structures, implementation, sortings"
1693,B,Fake Plastic Trees,1700.0,8546,https://codeforces.com/problemset/problem/1693/B,"dfs and similar, dp, greedy, trees"
1687,B,Railway System,1700.0,3669,https://codeforces.com/problemset/problem/1687/B,"constructive algorithms, graphs, greedy, interactive, sortings"
1685,B,Linguistics,2000.0,3293,https://codeforces.com/problemset/problem/1685/B,"greedy, implementation, sortings, strings"
1967,B1,Reverse Card (Easy Version),1400.0,13298,https://codeforces.com/problemset/problem/1967/B1,"brute force, math, number theory"
1868,B1,Candy Party (Easy Version),1700.0,7077,https://codeforces.com/problemset/problem/1868/B1,"bitmasks, constructive algorithms, graphs, greedy, implementation, math"
1827,B1,Range Sorting (Easy Version),2000.0,3913,https://codeforces.com/problemset/problem/1827/B1,"binary search, dp, dsu, greedy, trees, two pointers"
1824,B1,LuoTianyi and the Floating Islands (Easy Version),1800.0,4663,https://codeforces.com/problemset/problem/1824/B1,"combinatorics, math, probabilities, trees"
1967,B2,Reverse Card (Hard Version),2200.0,3935,https://codeforces.com/problemset/problem/1967/B2,"brute force, math, number theory"
1868,B2,Candy Party (Hard Version),2100.0,2422,https://codeforces.com/problemset/problem/1868/B2,"bitmasks, constructive algorithms, dp, greedy, implementation, math"
1827,B2,Range Sorting (Hard Version),2400.0,1894,https://codeforces.com/problemset/problem/1827/B2,"binary search, data structures, dp, greedy"
1824,B2,LuoTianyi and the Floating Islands (Hard Version),2300.0,2693,https://codeforces.com/problemset/problem/1824/B2,"combinatorics, dfs and similar, math, probabilities, trees"
2023,C,C+K+S,2400.0,890,https://codeforces.com/problemset/problem/2023/C,"constructive algorithms, dfs and similar, graphs, greedy, hashing, implementation, strings"
2018,C,Tree Pruning,1700.0,6052,https://codeforces.com/problemset/problem/2018/C,"brute force, dfs and similar, greedy, sortings, trees"
2006,C,Eri and Expanded Sets,2300.0,1619,https://codeforces.com/problemset/problem/2006/C,"data structures, divide and conquer, math, number theory, two pointers"
1967,C,Fenwick Tree,2300.0,1770,https://codeforces.com/problemset/problem/1967/C,"bitmasks, brute force, combinatorics, data structures, dp, math, trees"
1965,C,Folding Strip,2300.0,1938,https://codeforces.com/problemset/problem/1965/C,"constructive algorithms, greedy, strings"
