Contest ID,Index,Problem Name,Rating,Solved,URL,Tags
2036,A,Quintomania,800.0,26965,https://codeforces.com/problemset/problem/2036/A,implementation
2033,A,Sakurako and Kosuke,800.0,31717,https://codeforces.com/problemset/problem/2033/A,"constructive algorithms, implementation, math"
2014,A,Robin Helps,800.0,36436,https://codeforces.com/problemset/problem/2014/A,"greedy, implementation"
2010,A,Alternating Sum of Numbers,800.0,16504,https://codeforces.com/problemset/problem/2010/A,"brute force, implementation, math"
2008,A,Sakurako's Exam,800.0,34694,https://codeforces.com/problemset/problem/2008/A,"brute force, constructive algorithms, greedy, math"
2000,A,Primary Task,800.0,37058,https://codeforces.com/problemset/problem/2000/A,"implementation, math, strings"
1996,A,Legs,800.0,42871,https://codeforces.com/problemset/problem/1996/A,"binary search, math, ternary search"
1992,A,Only Pluses,800.0,41061,https://codeforces.com/problemset/problem/1992/A,"brute force, constructive algorithms, greedy, math, sortings"
1986,A,X Axis,800.0,40377,https://codeforces.com/problemset/problem/1986/A,"brute force, geometry, math, sortings"
1980,A,Problem Generator,800.0,40563,https://codeforces.com/problemset/problem/1980/A,math
1974,A,Phone Desktop,800.0,33211,https://codeforces.com/problemset/problem/1974/A,"greedy, math"
1968,A,Maximize?,800.0,34565,https://codeforces.com/problemset/problem/1968/A,"brute force, math, number theory"
1955,A,Yogurt Sale,800.0,43614,https://codeforces.com/problemset/problem/1955/A,math
1945,A,Setting up Camp,800.0,27679,https://codeforces.com/problemset/problem/1945/A,"greedy, math"
1941,A,Rudolf and the Ticket,800.0,42560,https://codeforces.com/problemset/problem/1941/A,"brute force, math"
1933,A,Turtle Puzzle: Rearrange and Negate,800.0,38267,https://codeforces.com/problemset/problem/1933/A,"greedy, math, sortings"
1932,A,Thorns and Coins,800.0,29744,https://codeforces.com/problemset/problem/1932/A,"dp, greedy, implementation"
1931,A,Recovering a Small String,800.0,36311,https://codeforces.com/problemset/problem/1931/A,"brute force, strings"
1927,A,Make it White,800.0,43756,https://codeforces.com/problemset/problem/1927/A,"greedy, strings"
1921,A,Square,800.0,43640,https://codeforces.com/problemset/problem/1921/A,"greedy, math"
1914,A,Problemsolving Log,800.0,31979,https://codeforces.com/problemset/problem/1914/A,"implementation, strings"
1907,A,Rook,800.0,37008,https://codeforces.com/problemset/problem/1907/A,implementation
1899,A,Game with Integers,800.0,47627,https://codeforces.com/problemset/problem/1899/A,"games, math, number theory"
1883,A,Morning,800.0,25845,https://codeforces.com/problemset/problem/1883/A,math
1881,A,Don't Try to Count,800.0,32744,https://codeforces.com/problemset/problem/1881/A,"brute force, strings"
1878,A,How Much Does Daytona Cost?,800.0,45530,https://codeforces.com/problemset/problem/1878/A,greedy
1872,A,Two Vessels,800.0,39393,https://codeforces.com/problemset/problem/1872/A,"brute force, greedy, math"
1862,A,Gift Carpet,800.0,32663,https://codeforces.com/problemset/problem/1862/A,"dp, greedy, implementation, strings"
1857,A,Array Coloring,800.0,49381,https://codeforces.com/problemset/problem/1857/A,"greedy, math"
1851,A,Escalator Conversations,800.0,29629,https://codeforces.com/problemset/problem/1851/A,"brute force, constructive algorithms, math"
2036,B,Startup,800.0,20312,https://codeforces.com/problemset/problem/2036/B,"greedy, sortings"
2033,B,Sakurako and Water,900.0,22202,https://codeforces.com/problemset/problem/2033/B,"brute force, constructive algorithms, greedy"
2014,B,Robin Hood and the Major Oak,800.0,27878,https://codeforces.com/problemset/problem/2014/B,math
2010,B,Three Brothers,800.0,19514,https://codeforces.com/problemset/problem/2010/B,"brute force, implementation, math"
2008,B,Square or Not,800.0,28237,https://codeforces.com/problemset/problem/2008/B,"brute force, math, strings"
2000,B,Seating in a Bus,800.0,33582,https://codeforces.com/problemset/problem/2000/B,two pointers
1996,B,Scale,800.0,32414,https://codeforces.com/problemset/problem/1996/B,"greedy, implementation"
1992,B,Angry Monk,800.0,34169,https://codeforces.com/problemset/problem/1992/B,"greedy, math, sortings"
